X1,occurrenceID,rightsHolder,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,Source,Date,yearMeasurement,Sex,lifeStage,Department,Municipality,ParamoComplex,Locality,Elevation,decimalLatitude,decimalLongitude,Order,Family,Species,Weight,totalCulmen,exposedCulmen,billDepth,billWidth,gape,wingArea,wingLength,distPrimarySecondary,tailLength,tailShape,Tarsus,Hallux,halluxClaw,Wingspan,Weight_Dunning2008
11,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1512,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1512,"Aquiles Gutierrez, Carlos Ordonez, Nixon Guerrero, Daniel Pantoja",Field,23-Feb-15,2015,Undetermined,Adult,Narino,El Tablon de Gomez,Complejo de Paramos Dona Juana-Chimayoy (DJP),"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",2899,1.469528,-76.957028,Apodiformes,Trochilidae,Adelomyia melanogenys,4.1,20,15.1,2,NA,NA,122,59,40,34,NA,7.6,5.1,NA,NA,4.85
12,IAvH:SSEYC:GUANTIVALARUISA:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2016_018:0557,UPTC,Human observation,IAvH,IAvH,IAvH:SSEYC:GUANTIVALARUISA:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2016_018:0557,"Wilderson Alfonso Medina Baron, Sebastian Camilo Perez Pena",Field,2-Feb-15,2015,Undetermined,Adult,Boyaca,Tipacoque,Complejo de Paramos Guantiva-La Rusia (GLR),"Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",2854,6.398106,-72.721642,Apodiformes,Trochilidae,Adelomyia melanogenys,3,17,14,2,2.5,4,NA,54,35,34,20,6,4,NA,NA,4.85
13,IAvH:SSEYC:GUANTIVALARUISA:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2016_018:0527,UPTC,Human observation,IAvH,IAvH,IAvH:SSEYC:GUANTIVALARUISA:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2016_IN018:0544,"Wilderson Alfonso Medina Baron, Sebastian Camilo Perez Pena",Field,30-Jan-15,2015,Undetermined,Adult,Boyaca,Tipacoque,Complejo de Paramos Guantiva-La Rusia (GLR),"Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",3090,6.396181,-72.731844,Apodiformes,Trochilidae,Adelomyia melanogenys,4,18.6,14.1,NA,2.7,4.1,NA,51.8,33.3,37.4,20,6.4,4,NA,NA,4.85
14,IAvH:SSEYC:LASHERMOSAS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN050:1330,F. Mellizas,Human observation,IAvH,IAvH,IAvH:SSEYC:LASHERMOSAS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN050:1330,"Jean Wilmar Parra Colorado, Wilmer Antonio Cardona Ocampo",Field,3-Oct-14,2014,Undetermined,Adult,Valle del Cauca,Sevilla,Complejo de Paramos Chili-Barragan (CBG),"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",3120,3.983944,-75.807667,Apodiformes,Trochilidae,Aglaeactis cupripennis,NA,22.36,18.22,2.01,3.28,4.34,NA,84,NA,51,15.8,7.77,8.03,NA,NA,7.6
15,IAvH:SSEYC:LASHERMOSAS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN050:1329,F. Mellizas,Human observation,IAvH,IAvH,IAvH:SSEYC:LASHERMOSAS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN050:1329,"Jean Wilmar Parra Colorado, Wilmer Antonio Cardona Ocampo",Field,3-Oct-14,2014,Undetermined,Adult,Valle del Cauca,Sevilla,Complejo de Paramos Chili-Barragan (CBG),"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",3120,3.983944,-75.807667,Apodiformes,Trochilidae,Aglaeactis cupripennis,6.94,25.24,20.64,1.58,3.09,3.78,NA,92,NA,52,23.16,7.53,6.13,NA,NA,7.6
16,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0758,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0758,"Jean W. Parra, Antonio Cardona",Field,4-May-14,2014,Male,Not registered,Valle del Cauca,Sevilla,Complejo de Paramos Chili-Barragan (CBG),"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",3625,4.08985,-75.79985,Apodiformes,Trochilidae,Aglaeactis cupripennis,7.04,23.45,20.13,1.81,3.26,4.98,NA,77,32.98,NA,17.62,5.88,7.24,NA,NA,7.6
17,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:ESPECIMENPRESERVADO:I2D-BIO_2014_IN056:0763,F. Mellizas,Preserved specimen,IAvH,IAvH,Temp-AAH355,"Jean W. Parra, Antonio Cardona",Field,5-May-14,2014,Female,Not registered,Valle del Cauca,Sevilla,Complejo de Paramos Chili-Barragan (CBG),"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",3625,4.090367,-75.800417,Apodiformes,Trochilidae,Aglaeactis cupripennis,7.83,22.45,18.76,1.86,2.9,4.97,NA,89,30.23,NA,22.11,6.74,9.01,NA,NA,7.6
18,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0754,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0754,"Jean W. Parra, Antonio Cardona",Field,4-May-14,2014,Not registered,Not registered,Valle del Cauca,Sevilla,Complejo de Paramos Chili-Barragan (CBG),"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",3625,4.090367,-75.800417,Apodiformes,Trochilidae,Aglaeactis cupripennis,6.79,19.52,NA,1.88,3.16,5.74,NA,83,33.06,53,27.67,6.75,6.92,NA,NA,7.6
19,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1186,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1186,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,19-May-15,2015,Male,Not registered,Narino,Tuquerres,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Tuquerres: San Roque, Vda. Esnambud",3398,1.108861,-77.671139,Apodiformes,Trochilidae,Aglaeactis cupripennis,8.5,22.7,18.8,1.4,2.5,4.6,NA,87,36,50,7,6.1,9.6,NA,NA,7.6
20,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1200,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1200,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,19-May-15,2015,Male,Not registered,Narino,Tuquerres,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Tuquerres: San Roque, Vda. Esnambud",3398,1.108861,-77.671139,Apodiformes,Trochilidae,Aglaeactis cupripennis,8,19.4,17.2,1.5,2.3,4,187.25,88,NA,47,4,7.1,9.5,NA,NA,7.6
21,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1190,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1190,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,19-May-15,2015,Female,Not registered,Narino,Tuquerres,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Tuquerres: San Roque, Vda. Esnambud",3398,1.108861,-77.671139,Apodiformes,Trochilidae,Aglaeactis cupripennis,7,24.3,20,1.7,2.8,4.7,178.78,72,39,50,4,6.9,9.2,NA,NA,7.6
22,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1187,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1187,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,19-May-15,2015,Female,Not registered,Narino,Tuquerres,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Tuquerres: San Roque, Vda. Esnambud",3398,1.108861,-77.671139,Apodiformes,Trochilidae,Aglaeactis cupripennis,7.5,23.4,19.5,2.1,3,6.1,186.55,76,45,51,4,5.9,8.2,NA,NA,7.6
23,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5170,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5170,Fanny Lorena Gonzalez Zapata,Field,30-Mar-14,2014,Male,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3640,4.890081,-75.267428,Apodiformes,Trochilidae,Aglaeactis cupripennis,8,NA,18.2,1.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
24,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5173,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5173,Fanny Lorena Gonzalez Zapata,Field,30-Mar-14,2014,Male,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3640,4.890081,-75.267428,Apodiformes,Trochilidae,Aglaeactis cupripennis,8,NA,18.9,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
25,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5172,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5172,Fanny Lorena Gonzalez Zapata,Field,30-Mar-14,2014,Male,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3640,4.890081,-75.267428,Apodiformes,Trochilidae,Aglaeactis cupripennis,9,NA,18.2,1.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
26,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5186,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5186,Fanny Lorena Gonzalez Zapata,Field,1-Apr-14,2014,Female,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3632,4.890081,-75.267428,Apodiformes,Trochilidae,Aglaeactis cupripennis,7,NA,18,1.9,2.2,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,7.6
27,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5188,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5188,Fanny Lorena Gonzalez Zapata,Field,1-Apr-14,2014,Female,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3632,4.890081,-75.267428,Apodiformes,Trochilidae,Aglaeactis cupripennis,7,NA,16,1.9,2.8,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,7.6
28,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5157,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5157,Fanny Lorena Gonzalez Zapata,Field,27-Mar-14,2014,Undetermined,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",4000,4.873558,-75.263217,Apodiformes,Trochilidae,Aglaeactis cupripennis,6,NA,20,1.3,2.8,NA,NA,78,NA,NA,NA,NA,9,NA,NA,7.6
29,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5230,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5230,Fanny Lorena Gonzalez Zapata,Field,12-Apr-14,2014,Male,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3820,4.881497,-75.256058,Apodiformes,Trochilidae,Aglaeactis cupripennis,9,25.1,19.4,NA,3.2,NA,NA,80,NA,NA,NA,NA,5.8,NA,NA,7.6
30,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5261,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5261,Fanny Lorena Gonzalez Zapata,Field,18-Apr-14,2014,Male,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3500,4.899778,-75.231531,Apodiformes,Trochilidae,Aglaeactis cupripennis,NA,28.6,20.4,1.9,3,NA,NA,82,NA,NA,NA,NA,7.1,NA,NA,7.6
31,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5158,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5158,Fanny Lorena Gonzalez Zapata,Field,27-Mar-14,2014,Female,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",4000,4.873558,-75.263217,Apodiformes,Trochilidae,Aglaeactis cupripennis,NA,NA,18.9,1.5,3.3,NA,NA,80,NA,50,NA,NA,NA,NA,NA,7.6
32,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5405,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5405,Alejandra Hurtado Giraldo,Field,1-May-14,2014,Undetermined,Not registered,Risaralda,Santa Rosa de Cabal,Complejo de Paramos Los Nevados (NVS),"Risaralda: Santa Rosa de Cabal: Vda. La Linda, Sector Cortaderal, Hacienda La Sierra",3813,4.813414,-75.488386,Apodiformes,Trochilidae,Aglaeactis cupripennis,7,22.2,18.7,1.9,NA,4,NA,77.8,NA,54.7,4.3,NA,NA,NA,NA,7.6
33,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5232,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5232,Fanny Lorena Gonzalez Zapata,Field,12-Apr-14,2014,Female,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3820,4.881497,-75.256058,Apodiformes,Trochilidae,Aglaeactis cupripennis,6,28.4,18.8,2,2.7,NA,NA,82,NA,51,NA,NA,6.9,NA,NA,7.6
34,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5234,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5234,Fanny Lorena Gonzalez Zapata,Field,12-Apr-14,2014,Female,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3820,4.881497,-75.256058,Apodiformes,Trochilidae,Aglaeactis cupripennis,9,27.4,21,2.2,3.4,NA,NA,80,NA,52,NA,NA,7.2,NA,NA,7.6
35,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5267,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5267,Fanny Lorena Gonzalez Zapata,Field,19-Apr-14,2014,Female,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3500,4.899778,-75.231531,Apodiformes,Trochilidae,Aglaeactis cupripennis,8,26.1,19.8,NA,3,NA,NA,78,34.4,50,NA,NA,6.2,NA,NA,7.6
36,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5231,WCS,Human observation,IAvH,IAvH,IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5231,Fanny Lorena Gonzalez Zapata,Field,12-Apr-14,2014,Female,Adult,Tolima,Murillo,Complejo de Paramos Los Nevados (NVS),"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",3820,4.881497,-75.256058,Apodiformes,Trochilidae,Aglaeactis cupripennis,7,24.9,17.6,1.7,2.6,NA,166.63,80,NA,49,NA,NA,5.6,NA,NA,7.6
